,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
57,凱基三多,16.0,1.7,14.3,107.75,107.29,元富緯城,2.05,21.02,-18.98,107.74,107.14
58,群益東湖,18.0,4.0,14.0,107.11,107.0,元大北府,5.25,24.0,-18.75,107.95,107.02
59,永豐台中,21.28,8.3,12.98,107.68,107.12,元大八德,0.0,18.03,-18.03,,107.03
60,國泰松江,32.05,19.23,12.82,106.95,107.34,康和,21.0,39.0,-18.0,107.0,107.0
61,富邦陽明,17.65,5.11,12.54,107.38,107.49,台新建北,0.0,18.0,-18.0,,107.0
62,日進,16.0,4.0,12.0,107.06,107.75,第一台南,3.11,21.05,-17.94,107.48,107.33
63,臺銀金山,20.0,8.0,12.0,107.15,107.31,凱基中山,3.0,20.2,-17.2,107.0,107.08
64,國票南港,13.0,1.0,12.0,107.0,107.0,元大善化,3.1,20.0,-16.9,107.32,107.02
65,?亞鑫豐,32.05,20.1,11.95,107.61,107.27,日盛景美,27.0,43.3,-16.3,106.94,106.99
66,國泰新莊,27.21,15.9,11.3,107.31,107.5,永豐內湖,71.0,87.0,-16.0,107.49,107.04
67,國泰敦南,122.45,111.3,11.15,107.24,107.2,合庫新竹,7.0,23.0,-16.0,107.57,107.07
68,康和內湖,18.0,7.0,11.0,107.08,107.5,富邦虎尾,2.03,18.0,-15.97,107.49,108.0
69,宏遠台南,22.0,11.0,11.0,107.73,107.23,臺銀新竹,1.05,16.2,-15.15,107.0,107.0
70,群益三民,15.0,4.01,10.99,107.33,107.37,群益東門,6.17,21.08,-14.91,107.16,107.52
71,元大屏南,15.05,4.08,10.97,107.13,107.25,兆豐嘉義,3.1,18.0,-14.9,107.18,107.03
72,元大屏生,11.86,1.15,10.7,107.29,107.5,元富城東,4.16,19.02,-14.85,107.38,107.39
73,元大苗栗,13.5,3.0,10.5,107.0,107.33,合庫台中,19.35,33.9,-14.55,107.63,107.16
74,元大南投,10.1,0.0,10.1,107.54,,合庫高雄,1.1,15.4,-14.3,107.91,107.11
75,凱基宜蘭,11.1,1.0,10.1,107.18,106.5,京城南京,3.0,17.0,-14.0,107.0,107.59
76,日盛和美,14.0,4.0,10.0,107.18,106.88,群益北高,3.0,17.0,-14.0,107.17,107.18
77,凱基豐中,10.0,0.0,10.0,107.3,,永豐員林,2.1,16.0,-13.9,107.0,107.0
78,統一敦南,10.5,1.0,9.5,106.9,107.0,群益萬華,1.31,15.0,-13.69,107.12,107.17
79,元大員林,11.43,2.0,9.43,107.67,107.5,土　　銀,10.5,24.0,-13.5,107.0,107.5
80,凱基三重,18.22,9.0,9.22,107.6,107.22,群益敦南,3.13,16.2,-13.07,107.48,107.04
81,元大歸仁,11.1,2.0,9.1,107.32,107.0,兆豐西螺,0.0,13.0,-13.0,,107.04
82,日盛宜蘭,16.0,7.0,9.0,107.0,107.0,企銀,2.0,15.0,-13.0,107.0,107.07
83,兆豐員林,14.0,5.0,9.0,106.96,107.3,美好富順,3.0,16.0,-13.0,107.67,107.25
84,華南東勢,11.0,2.0,9.0,107.0,107.0,群益松山,0.02,13.0,-12.98,107.0,107.0
