序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,"賣出股數"
165,日盛北高,108.00,1000,0,,166,日盛花蓮,107.00,2200,1000 
167,日盛花蓮,107.50,1000,8000,,168,日盛大墩,106.50,0,1000 
169,日盛大墩,107.00,2000,3000,,170,日盛大墩,107.50,1300,1500 
171,日盛大墩,108.00,2000,0,,172,日盛和美,106.50,0,1000 
173,日盛和美,107.00,10000,3000,,174,日盛和美,107.50,3000,0 
175,日盛和美,108.00,1000,0,,176,日盛屏東,107.00,10,1500 
177,日盛屏東,107.50,0,3500,,178,日盛屏東,108.00,1000,0 
179,日盛永康,107.00,4000,100,,180,日盛永康,107.50,0,1000 
181,日盛永康,108.00,1000,0,,182,日盛信義,107.00,1000,3000 
183,日盛信義,107.50,0,2000,,184,日盛信義,108.00,2000,0 
185,日盛二林,107.00,31000,0,,186,日盛二林,107.50,0,10000 
187,日盛二林,108.00,5000,0,,188,日盛文化,107.00,4000,6000 
189,日盛文化,107.50,1000,0,,190,日盛土城,107.00,0,2000 
191,日盛土城,107.50,5000,0,,192,日盛新莊,107.00,7100,2146 
193,日盛新莊,107.50,11000,7200,,194,日盛桃園,107.00,6000,4000 
195,日盛桃園,108.00,2000,0,,196,日盛斗六,107.00,15000,0 
197,日盛鳳山,107.00,0,2000,,198,日盛鳳山,107.50,1100,2000 
199,日盛鳳山,108.00,1000,0,,200,日盛宜蘭,107.00,16000,7000 
201,日盛中和,107.00,2100,0,,202,日盛中和,107.50,100,3000 
203,彰銀,107.00,2000,2000,,204,彰銀,107.50,80,0 
205,彰銀台中,106.50,100,0,,206,彰銀台中,107.00,1000,0 
207,彰銀台中,107.50,0,5000,,208,彰銀台中,108.00,0,1000 
209,宏遠,106.50,100000,0,,210,宏遠,107.00,20,1000 
211,宏遠,107.50,50010,105000,,212,宏遠,108.00,0,8000 
213,宏遠桃園,107.50,1000,1000,,214,宏遠桃園,108.00,0,1000 
215,宏遠台南,106.50,1000,0,,216,宏遠台南,107.00,1000,6000 
217,宏遠台南,107.50,7000,5000,,218,宏遠台南,108.00,13000,0 
219,宏遠中和,107.00,0,1000,,220,宏遠中和,107.50,0,22000 
221,宏遠光隆,107.00,1100,18000,,222,宏遠光隆,107.50,1000,4100 
223,宏遠台中,107.00,50,1000,,224,宏遠台中,107.50,50,2000 
225,宏遠高雄,106.50,0,1000,,226,宏遠高雄,107.00,2000,2000 
227,宏遠高雄,107.50,1000,10,,228,宏遠館前,107.00,1000,10000 
229,宏遠新化,107.00,33,0,,230,宏遠新化,107.50,1,0 
231,港麥格理,107.00,82000,362000,,232,港麥格理,107.50,11000,0 
233,港麥格理,108.00,1000,0,,234,台灣匯立,107.00,574000,100000 
235,台灣匯立,107.50,919805,50000,,236,台灣匯立,108.00,0,100000 
237,美林,106.50,0,20000,,238,美林,107.00,905000,1541558 
239,美林,107.50,560000,63000,,240,美林,108.00,33000,10000 
241,台灣摩根,106.50,0,15000,,242,台灣摩根,107.00,297000,464000 
243,台灣摩根,107.50,574000,131000,,244,台灣摩根,108.00,225000,46000 
245,台灣摩根,108.50,18000,0,,246,美商高盛,106.50,1000,9000 
247,美商高盛,107.00,152000,409600,,248,美商高盛,107.50,747766,40000 
249,美商高盛,108.00,83000,37000,,250,瑞士信貸,107.50,0,1123000 
251,瑞士信貸,108.00,0,30000,,252,港商野村,107.50,39000,0 
253,港商野村,108.00,0,95000,,254,港商法興,107.00,356000,22000 
255,港商法興,107.50,230000,0,,256,花旗環球,106.50,0,7000 
257,花旗環球,107.00,345000,334600,,258,花旗環球,107.50,377000,70000 
259,花旗環球,108.00,87000,315000,,260,瑞銀,107.00,1314000,1228000 
261,瑞銀,107.50,403000,508000,,262,瑞銀,108.00,104000,196000 
263,瑞銀,108.50,19000,0,,264,亞東,106.50,363,0 
265,亞東,107.00,51300,1000,,266,亞東,107.50,11000,11124 
267,亞東板橋,107.50,400,13000,,268,亞東板橋,108.00,5000,0 
269,亞東新竹,107.00,18000,0,,270,亞東新竹,108.00,3000,0 
271,亞東台南,106.50,5000,0,,272,亞東台南,107.00,10000,4000 
273,亞東台南,107.50,5000,25000,,274,亞東台南,108.00,5000,0 
275,亞東高雄,107.00,10,2000,,276,亞東高雄,107.50,2000,0 
